# Slot ErrorProbability
1 0.025
2 0.0625
3 0.0625
4 0.175
5 0.225
6 0.15
7 0.225
8 0.2125
9 0.2375
10 0.2
11 0.2375
12 0.3
13 0.3
14 0.2625
15 0.425
16 0.3375
17 0.2375
18 0.3
19 0.45
20 0.3625
21 0.3125
22 0.3625
23 0.45
24 0.4625
25 0.475
26 0.4875
27 0.5125
28 0.45
29 0.5
30 0.475
31 0.5
32 0.675
33 0.5875
34 0.65
35 0.5875
36 0.5875
37 0.5625
38 0.5375
39 0.5875
40 0.575
41 0.5875
42 0.6625
43 0.525
44 0.6875
45 0.6875
46 0.75
47 0.75
48 0.8625
49 0.7125
50 0.5875
51 0.7
52 0.775
53 0.7625
54 0.8
55 1.0
56 0.9875
57 0.875
58 0.65
59 0.5375
60 0.6
61 0.7
62 0.725
63 0.7
64 0.6375
65 0.7375
66 0.775
67 0.6875
68 0.6875
69 0.75
70 0.725
71 0.7
72 0.725
73 0.725
74 0.6875
75 0.7375
76 0.8
77 0.7
78 0.5875
79 0.7
80 0.9125
81 0.8125
82 0.825
83 0.75
84 0.8
85 0.7375
86 0.8375
87 0.7625
88 0.7875
89 0.7875
90 0.775
91 0.85
92 0.8
93 0.8
94 0.825
95 0.8
96 0.725
97 0.7125
98 0.8
99 0.75
100 0.7875
